Country Code,Country Name_x,Continent_x,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
IDA,IDA only,Global,8.44198801567736,8.50229574935807,8.46845133410249,8.66348144881528,8.99388696572095,9.23685529336962,9.09425677674498,9.72714517264253,9.90627112787473,10.2650879718301,10.3467229678199,10.6949544795991,12.2878276278203,11.841229793251,11.7204142432117
IDB,Indonesia,Asia,5.75327411942573,5.86867624939648,6.03687067404268,6.22296357034945,7.16758737519434,8.08946801543667,7.46593972825548,8.78989815699773,9.16155953044523,9.71445153001608,10.1971459050858,11.2320186185571,13.0134679731463,12.402761328576,12.42348435599
IDN,Indonesia,Asia,19.701,19.182,17.751,18.478,15.738,16.071,16.042,17.274,16.021,14.571,16.413,13.588,14.772,13.818,13.016
IDX,East Asia & Pacific (IDA & IBRD countries),Asia,9.80974834523307,9.84384890360145,9.70864344703601,9.90729232490462,9.92173954518479,9.81779060012559,9.91555819184204,10.1974645730154,10.2774913038313,10.5380674581809,10.4206158387783,10.4304278227893,11.9310102489788,11.5428493642731,11.3464577463437
IND,India,Asia,17.143,18.098,18.959,19.681,20.549,21.459,22.409,23.374,24.358,25.304,26.353,22.885,30.896,23.893,23.224
IRL,Ireland,Europe,13.471,24.526,28.164,29.596,30.806,26.743,23.431,20.257,16.793,14.392,13.747,12.464,15.24,14.461,9.147
IRN,"Iran, Islamic Rep.",Asia,23.025,24.657,28.568,26.469,26.684,23.924,25.03,25.994,29.063,28.206,27.541,25.963,23.714,25.609,26.002
IRQ,Iraq,Asia,16.986,16.835,16.6,16.389,16.118,18.0,19.923,21.199,22.443,25.266,29.555,33.989,36.842,35.604,34.592
ISL,Iceland,Europe,7.885,15.469,15.867,14.156,13.204,10.428,9.585,8.595,6.34,7.563,5.891,8.461,9.875,11.774,10.729
ISR,Israel,Asia,12.475,14.71,14.23,11.835,12.147,10.548,10.596,9.306,8.64,7.266,7.162,6.672,7.931,7.402,6.031
ITA,Italy,Europe,21.202,25.378,27.919,29.205,35.342,40.081,42.707,40.37,37.786,34.741,32.201,29.166,29.383,29.707,23.93
JAM,Jamaica,North America,17.108,18.479,20.382,20.313,23.382,27.279,26.461,25.919,24.747,21.799,18.176,16.046,20.219,18.607,14.577
JOR,Jordan,Asia,29.686,30.469,29.361,30.219,28.406,29.192,27.468,30.917,35.617,35.391,38.88,37.122,42.349,40.28,39.424
JPN,Japan,Asia,7.303,9.204,9.437,8.303,8.227,6.806,6.288,5.473,5.117,4.602,3.671,3.935,4.639,4.559,4.234
KAZ,Kazakhstan,Asia,7.392,6.676,5.212,4.571,3.931,3.914,3.847,3.794,3.832,3.78,3.841,3.899,3.765,3.999,3.846
KEN,Kenya,Africa,7.149,7.122,7.061,7.175,7.236,7.297,7.307,7.338,7.374,9.048,10.689,12.43,13.83,13.475,13.352
KGZ,Kyrgyz Republic,Asia,5.38,5.399,5.541,5.863,5.995,6.248,6.403,6.623,6.855,7.091,7.274,9.023,8.57,9.161,8.875
KHM,Cambodia,Asia,1.332,0.805,0.968,0.602,0.679,0.772,1.071,0.773,1.163,0.38,0.405,0.431,0.785,0.679,0.849
KOR,"Korea, Rep.",Asia,8.653,9.215,8.527,8.297,7.732,7.918,8.579,9.912,10.155,9.774,10.101,9.844,10.144,8.055,6.879
KWT,Kuwait,Asia,7.71,7.293,8.992,10.534,12.255,13.932,15.375,16.196,15.176,15.13,15.077,15.031,19.315,17.136,15.384
LAC,Latin America & Caribbean,South America,13.8971772368597,15.6329665041915,14.4940432281246,14.1444601037547,13.4502575585646,13.5855837495077,13.4582003384512,14.6503765701395,17.2998585526724,17.6380812813268,17.6157800085788,17.6508166745734,20.7894601002312,18.8749121208604,15.1294341407776
LAO,Lao PDR,Asia,2.133,1.881,1.599,2.178,2.754,3.337,3.944,4.555,5.168,5.786,5.853,5.927,6.676,6.502,4.784
LBN,Lebanon,Asia,18.414,15.03,15.951,16.956,17.791,18.626,19.51,20.408,21.203,21.948,22.642,23.316,26.56,25.152,25.504
LBR,Liberia,Africa,3.219,3.196,3.166,2.774,2.377,1.97,1.556,1.927,2.298,2.343,2.395,2.449,3.505,3.085,3.084
LBY,Libya,Africa,47.921,48.418,48.775,49.804,49.766,50.445,50.577,50.255,50.086,49.497,49.597,49.716,52.241,51.356,51.471
LCA,St. Lucia,North America,25.391,31.327,35.486,39.76,40.95,48.621,47.506,46.621,45.541,44.659,41.623,35.533,43.885,43.569,40.02
LCN,Latin America & the Caribbean (excluding high income),South America,14.1788905027654,15.8599984630932,14.7413520965447,14.354122847225,13.6792834521274,13.906223331453,13.7313874883491,14.6979063912061,17.0279468402354,17.4103017528234,17.4190912754209,17.5340094302322,20.7192476963242,18.7685760920655,15.1134573639541
LDC,Least developed countries: UN classification,Global,9.16235095597612,9.26725803962195,9.34330491644276,9.61865949941786,9.72107896995573,9.74198381224182,9.76481192074195,10.0067113612712,10.2484218746471,10.6438016490874,10.4526757039865,10.4614208436396,11.9560406027142,11.5832532027144,11.3046293254902
LIC,Low income,Global,9.61835913991836,9.19210748637521,9.70102360954096,9.97805171253935,10.0654958800861,9.79280862856108,9.8430787451783,10.1240041645064,10.3706404519547,10.6278923463815,10.6694324776593,10.7261272313279,12.0429626026436,11.267830526589,11.2001520069804
LKA,Sri Lanka,Asia,18.791,21.207,18.722,16.83,16.848,18.078,18.787,19.261,20.074,17.399,20.489,20.375,20.967,21.121,26.123
LMC,Lower middle income,Global,13.7545739698884,14.3163449768455,14.7087774769376,15.1659054438389,15.9061796391261,16.3890480852152,16.7475933919682,17.6304655080499,18.1262048174269,18.5800773449169,18.7492483951848,17.1231272866157,21.4699763259177,18.2339496542385,17.7729134662387
LMY,Low & middle income,Global,13.1150681007624,13.7499574775097,13.7605681435875,13.9133386208012,14.1826524089069,14.4811991101566,14.7655026385617,15.5094576858924,16.0328022383191,16.2772050207969,16.3675936500543,15.6569757528487,18.7674893497653,16.7471968789629,16.16932272719
LSO,Lesotho,Africa,23.935,24.244,24.15,24.294,24.367,24.646,24.737,24.782,24.829,25.106,25.097,25.116,27.866,26.907,26.657
LTE,Late-demographic dividend,Global,11.563699555686,12.4695205904432,11.8665603460223,11.8472951619395,11.8249278576555,11.8818225079474,12.0165377789099,12.689101764914,13.5147823038873,13.6181606997274,13.0280138306015,13.5210403575911,15.7451094691519,15.2058312641371,14.505185739378
LTU,Lithuania,Europe,13.366,29.619,35.768,32.608,26.693,21.933,19.294,16.34,14.485,13.279,11.13,11.87,19.588,14.316,11.045
LUX,Luxembourg,Europe,17.827,17.142,14.177,16.764,18.668,15.473,22.408,17.357,18.886,15.402,14.211,16.989,23.239,16.981,17.538
LVA,Latvia,Europe,13.699,33.552,36.312,31.122,28.625,23.286,19.628,16.312,17.282,16.981,12.192,12.419,14.863,14.774,13.196
MAC,"Macao SAR, China",Asia,5.889,7.526,5.41,5.747,5.468,4.119,3.839,4.322,4.975,5.049,5.064,4.654,7.696,6.015,7.046
MAR,Morocco,Africa,18.233,16.649,17.658,17.973,18.685,19.204,20.012,20.864,22.317,22.251,22.433,22.579,26.501,24.888,24.938
MDA,Moldova,Europe,11.246,15.476,17.968,14.973,13.19,12.245,9.326,12.353,10.961,11.849,7.106,10.379,10.771,9.133,8.11
MDG,Madagascar,Africa,3.528,4.185,4.941,3.24,1.016,1.794,2.563,3.339,3.378,3.424,3.478,3.518,4.48,4.188,3.949
MDV,Maldives,Asia,22.57,24.677,23.528,22.234,20.887,19.717,18.384,16.858,15.316,14.923,14.463,13.926,16.33,16.053,15.126
MEA,Middle East & North Africa,Middle East,23.0308182863708,22.6447180144039,23.5752528603425,24.5911488724382,26.094798419438,25.662511208019,25.8401326244574,27.0687850419274,27.1673784567911,27.6063297720794,26.4658194652565,25.0238112991984,26.1214872220377,25.5404303524623,24.9910766961799
MEX,Mexico,North America,7.6,10.046,9.72,9.789,9.379,9.399,9.432,8.55,7.668,6.88,6.846,7.217,8.092,7.867,6.357
